MEA_UPD.ABS_PRES,MEA_UPD.FG_TEMP,MEA_UPD.FLASH_TEMP,MEA_UPD.GASABSIN,MEA_UPD.GASINCO2FRXN,MEA_UPD.GASINH2OFRXN,MEA_UPD.GASINN2FRXN,MEA_UPD.GASINO2FRXN,MEA_UPD.LS_PRES,MEA_UPD.LS_TEMP,MEA_UPD.P-1_FLOW,MEA_UPD.P-1_TEMP,MEA_UPD.P-2_FLOW,MEA_UPD.P-2_TEMP,MEA_UPD.SOLVENTABSIN,MEA_UPD.STRIP_PRES,MEA_UPD.VLE1,MEA_UPD.VLE2,MEA_UPD.VLE3,MEA_UPD.VLE4,MEA_UPD.VLE5,MEA_UPD.VLE6,MEA_UPD.VLE7,MEA_UPD.VLE8,MEA_UPD.VLE9,X_SOLVENT_CALC.AMINECONC,X_SOLVENT_CALC.CO2LOADING
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191379600,-492343900,-335184900,-687834000,29.66023,-8105.663,3.685663,5.517457,-2952.612,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191468300,-491568500,-325650500,-689308900,28.69563,-7812.95,3.991859,2.298019,-1242.846,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191377800,-491805600,-329201300,-695932800,28.46586,-7706.312,3.86342,1.462131,-2092.147,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191573500,-493612300,-332197100,-689597000,28.02412,-7659.537,4.612385,0.816482,-1684.722,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191260400,-492600400,-327281100,-697211500,29.21815,-7900.772,2.707354,3.139553,-1687.181,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-190780400,-492285200,-327118200,-693032200,28.60221,-7673.333,3.247848,1.691038,-2856.21,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-190735900,-491453300,-329453600,-690672100,28.41729,-7601.94,3.290832,1.949587,-1777.852,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-190816000,-492933600,-328414700,-695676600,29.29327,-7931.595,3.484077,4.292511,-2119.689,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191503300,-491852500,-324047500,-691212400,29.27191,-7961.296,2.219898,4.651282,-1668.261,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-190494100,-493016600,-329645900,-696683400,29.67115,-8035.624,2.806318,3.147013,-1911.057,0.3,0.17036
