X1,X2,X3,X4,Y1
3556,1750,0.1417,0.25,4.670821685
4091,1750,0.1417,0.25,4.641827853
4627,1750,0.1417,0.25,4.581235568
3348,1750,0.1583,0.25,5.343909518
3952,1750,0.1583,0.25,5.122253066
4556,1750,0.1583,0.25,4.925927731
5160,1750,0.1583,0.25,5.095941223
3004,1750,0.175,0.25,6.843779494
3677,1750,0.175,0.25,6.22337949
4350,1750,0.175,0.25,5.816771375
5023,1750,0.175,0.25,5.612361583
5695,1750,0.175,0.25,5.420257537
3133,1750,0.125,0.3,4.978342318
3735,1750,0.125,0.3,4.947848001
4337,1750,0.125,0.3,5.044528664
4938,1750,0.125,0.3,5.163815848
3517,1750,0.1417,0.3,5.211981072
4200,1750,0.1417,0.3,5.120973525
4883,1750,0.1417,0.3,5.147073466
5565,1750,0.1417,0.3,5.571382905
3135,1750,0.1583,0.3,6.098414149
3898,1750,0.1583,0.3,5.683488689
4662,1750,0.1583,0.3,5.437436526
5425,1750,0.1583,0.3,5.689237488
6189,1750,0.1583,0.3,6.261281958
3438,1750,0.175,0.3,6.973303038
4282,1750,0.175,0.3,6.425398256
5127,1750,0.175,0.3,6.154577244
5971,1750,0.175,0.3,6.037565594
6816,1750,0.175,0.3,6.551601189
3254,2000,0.1417,0.15,4.448484726
3313,2000,0.1583,0.15,5.03138858
3673,2000,0.1583,0.15,4.827170707
3270,2000,0.175,0.15,6.112836445
3682,2000,0.175,0.15,5.825574638
4095,2000,0.175,0.15,5.556073754
3025,2000,0.125,0.2,4.829969675
3448,2000,0.125,0.2,4.775863445
3871,2000,0.125,0.2,4.7731892
3408,2000,0.1417,0.2,4.405285529
3896,2000,0.1417,0.2,4.357779844
4384,2000,0.1417,0.2,4.358754779
3235,2000,0.1583,0.2,5.076445781
3788,2000,0.1583,0.2,4.828087699
4341,2000,0.1583,0.2,4.727178707
4894,2000,0.1583,0.2,4.640729785
3552,2000,0.175,0.2,5.905060595
4170,2000,0.175,0.2,5.503464326
4788,2000,0.175,0.2,5.366376261
5406,2000,0.175,0.2,5.000957259
3135,2000,0.125,0.25,4.773693654
3727,2000,0.125,0.25,4.668363604
4318,2000,0.125,0.25,4.685041922
4910,2000,0.125,0.25,4.812461935
3506,2000,0.1417,0.25,4.702977308
4176,2000,0.1417,0.25,4.599495108
4845,2000,0.1417,0.25,4.507821656
5514,2000,0.1417,0.25,5.053838001
3130,2000,0.1583,0.25,5.443681925
3876,2000,0.1583,0.25,5.112407642
4622,2000,0.1583,0.25,4.865207829
5368,2000,0.1583,0.25,5.097864237
6114,2000,0.1583,0.25,5.439885402
3424,2000,0.175,0.25,6.382911423
4248,2000,0.175,0.25,5.820424138
5071,2000,0.175,0.25,5.565883328
5895,2000,0.175,0.25,5.539196204
6718,2000,0.175,0.25,5.965381104
3667,2000,0.125,0.3,4.801239184
4428,2000,0.125,0.3,5.041844819
5188,2000,0.125,0.3,5.295337045
5949,2000,0.125,0.3,6.592344858
3243,2000,0.1417,0.3,5.219105757
4093,2000,0.1417,0.3,5.062527935
4943,2000,0.1417,0.3,5.104751313
5794,2000,0.1417,0.3,5.727067101
6644,2000,0.1417,0.3,7.128413905
3577,2000,0.1583,0.3,5.746900229
4517,2000,0.1583,0.3,5.399974085
5456,2000,0.1583,0.3,5.589592991
6396,2000,0.1583,0.3,6.355547593
7335,2000,0.1583,0.3,6.91087192
3914,2000,0.175,0.3,6.576593079
4943,2000,0.175,0.3,6.162072862
5972,2000,0.175,0.3,5.956076745
